Gene	Rho	P_val
ABCB1	-1.682e-01	3.898e-02
ABCC3	3.961e-02	6.292e-01
ABL1	-5.385e-02	5.114e-01
ABL2	9.310e-02	2.556e-01
ACTA2	6.641e-02	4.178e-01
ACVR1B	-1.662e-01	4.140e-02
ADGRA2	7.343e-02	3.702e-01
AJUBA	1.382e-01	9.056e-02
AKT1	8.713e-02	2.874e-01
AKT2	-6.279e-02	4.437e-01
AKT3	-1.576e-01	5.331e-02
ALK	5.083e-02	5.354e-01
ALOX12B	6.561e-02	4.235e-01
AMER1	1.843e-01	2.352e-02
ANKRD11	-1.148e-01	1.606e-01
APC	1.134e-01	1.656e-01
APOB	-5.182e-02	5.275e-01
AR	-2.268e-01	5.101e-03
ARAF	2.677e-01	8.883e-04
ARFRP1	-2.809e-01	4.757e-04
ARHGAP26	2.382e-03	9.768e-01
ARHGAP35	2.909e-02	7.229e-01
ARID1A	1.817e-01	2.558e-02
ARID1B	-6.902e-03	9.330e-01
ARID2	-4.084e-02	6.185e-01
ARID5B	1.211e-01	1.386e-01
ASNS	2.421e-01	2.746e-03
ASXL1	-1.451e-01	7.545e-02
ASXL2	-3.359e-02	6.822e-01
ATIC	2.014e-01	1.314e-02
ATM	9.908e-02	2.261e-01
ATP7B	-8.952e-02	2.743e-01
ATR	1.694e-02	8.364e-01
ATRX	-1.419e-01	8.229e-02
AURKA	2.679e-01	8.841e-04
AURKB	-1.746e-01	3.206e-02
AXIN1	4.393e-02	5.923e-01
AXIN2	8.482e-03	9.177e-01
AXL	4.193e-02	6.092e-01
B2M	1.377e-01	9.186e-02
BAP1	-2.096e-02	7.984e-01
BARD1	-1.347e-01	9.903e-02
BCAR1	5.242e-03	9.491e-01
BCL10	-1.287e-01	1.152e-01
BCL11B	5.971e-02	4.665e-01
BCL2	1.970e-01	1.531e-02
BCL2L1	-1.718e-01	3.493e-02
BCL2L11	-8.603e-02	2.936e-01
BCL2L12	-5.320e-02	5.165e-01
BCL2L2	1.982e-02	8.092e-01
BCL6	-1.255e-01	1.248e-01
BCL7A	7.774e-02	3.427e-01
BCLAF1	-7.873e-02	3.366e-01
BCOR	-3.142e-01	8.557e-05
BCORL1	2.274e-01	4.982e-03
BCR	-3.516e-02	6.682e-01
BIRC3	3.237e-01	5.016e-05
BLM	1.165e-01	1.542e-01
BMPR1A	-1.993e-01	1.414e-02
BRAF	8.755e-03	9.150e-01
BRCA1	-1.367e-01	9.413e-02
BRCA2	2.219e-02	7.868e-01
BRD4	1.105e-01	1.768e-01
BRIP1	-6.898e-02	4.000e-01
BTG1	1.215e-01	1.372e-01
BTK	-1.635e-01	4.486e-02
BUB1B	1.034e-01	2.063e-01
C11orf65	1.716e-01	3.511e-02
C3orf70	-1.543e-01	5.848e-02
C8orf34	9.665e-02	2.378e-01
CADM2	2.050e-02	8.028e-01
CALR	-1.079e-01	1.872e-01
CARD11	-3.135e-01	8.884e-05
CASP8	-1.058e-01	1.960e-01
CASR	6.417e-04	9.938e-01
CBFB	1.280e-01	1.172e-01
CBL	2.123e-02	7.959e-01
CBLB	-1.020e-02	9.011e-01
CBLC	5.678e-02	4.887e-01
CBR3	-4.648e-02	5.709e-01
CCDC6	-1.449e-01	7.589e-02
CCND1	2.987e-01	1.953e-04
CCND2	5.014e-02	5.409e-01
CCND3	1.105e-01	1.769e-01
CCNE1	9.872e-02	2.278e-01
CCNE2	-4.371e-02	5.941e-01
CD19	-1.212e-01	1.383e-01
CD22	-4.952e-02	5.460e-01
CD274	1.528e-01	6.109e-02
CD276	5.234e-02	5.233e-01
CD40	2.699e-01	8.027e-04
CD70	-4.137e-02	6.140e-01
CD79A	-9.938e-03	9.036e-01
CD79B	1.458e-01	7.403e-02
CDC25A	9.037e-02	2.698e-01
CDC73	-9.717e-02	2.352e-01
CDH1	4.298e-03	9.582e-01
CDH2	-1.099e-01	1.792e-01
CDK12	6.833e-02	4.045e-01
CDK4	1.223e-01	1.347e-01
CDK5	2.594e-01	1.296e-03
CDK6	2.179e-01	7.199e-03
CDK8	5.088e-02	5.350e-01
CDKN1A	1.556e-01	5.634e-02
CDKN1B	7.212e-02	3.788e-01
CDKN1C	-2.259e-02	7.830e-01
CDKN2A	-2.599e-01	1.271e-03
CDKN2B	-1.046e-01	2.011e-01
CDKN2C	-1.010e-01	2.170e-01
CEBPA	1.426e-01	8.074e-02
CEP57	-1.479e-01	7.002e-02
CFTR	3.402e-01	1.919e-05
CHD2	6.065e-02	4.594e-01
CHD4	-2.297e-01	4.560e-03
CHEK1	6.463e-02	4.304e-01
CHEK2	-1.865e-02	8.202e-01
CIC	9.888e-02	2.271e-01
CIITA	-1.721e-01	3.455e-02
CKS1B	1.561e-01	5.561e-02
CREBBP	-2.914e-01	2.829e-04
CRKL	-1.816e-01	2.564e-02
CRLF2	-1.519e-01	6.255e-02
CSF1R	8.030e-02	3.270e-01
CSF3R	-1.323e-01	1.054e-01
CTC1	5.365e-02	5.129e-01
CTCF	-2.312e-01	4.295e-03
CTLA4	6.698e-02	4.139e-01
CTNNA1	-2.117e-01	9.064e-03
CTNNB1	-6.859e-02	4.027e-01
CTRC	-1.439e-01	7.795e-02
CUL3	-5.781e-02	4.808e-01
CUX1	1.120e-01	1.710e-01
CXCR4	1.755e-01	3.113e-02
CYLD	2.159e-01	7.765e-03
CYP1B1	-8.929e-02	2.756e-01
CYP2D6	1.315e-01	1.076e-01
CYP3A5	-2.734e-01	6.825e-04
DAXX	-1.165e-01	1.543e-01
DDB2	-9.458e-02	2.480e-01
DDR2	-1.651e-01	4.283e-02
DDX3X	-3.144e-01	8.456e-05
DICER1	1.039e-01	2.043e-01
DIS3	3.454e-02	6.737e-01
DIS3L2	5.155e-02	5.296e-01
DKC1	-1.641e-01	4.401e-02
DMD	-2.231e-01	5.906e-03
DNM2	1.602e-01	4.938e-02
DNMT1	-8.890e-02	2.777e-01
DNMT3A	8.997e-02	2.719e-01
DNMT3B	1.994e-01	1.411e-02
DOT1L	7.502e-03	9.272e-01
DPYD	4.852e-02	5.541e-01
DYNC2H1	-1.798e-01	2.721e-02
E2F1	-2.005e-01	1.355e-02
E2F2	4.812e-02	5.573e-01
E2F3	2.896e-02	7.241e-01
E2F4	1.357e-01	9.672e-02
E2F5	-2.240e-02	7.848e-01
E2F6	-9.105e-02	2.662e-01
EBF1	8.883e-02	2.781e-01
ECT2L	2.330e-02	7.764e-01
EED	-1.092e-01	1.819e-01
EGF	1.650e-02	8.407e-01
EGFL7	-7.681e-02	3.486e-01
EGFR	1.571e-01	5.411e-02
EGLN1	7.980e-02	3.301e-01
ELF3	-2.266e-01	5.150e-03
ELOC	4.470e-02	5.858e-01
EMSY	1.828e-01	2.465e-02
ENG	-1.466e-01	7.251e-02
EP300	-7.246e-02	3.766e-01
EPCAM	-1.362e-01	9.547e-02
EPHA2	8.730e-02	2.865e-01
EPHA3	2.634e-02	7.481e-01
EPHA5	1.019e-01	2.133e-01
EPHA7	-3.093e-02	7.062e-01
EPHB1	-3.987e-02	6.269e-01
EPHB2	1.150e-01	1.598e-01
EPOR	4.004e-02	6.255e-01
ERBB2	8.414e-02	3.044e-01
ERBB3	2.472e-02	7.632e-01
ERBB4	1.191e-01	1.454e-01
ERCC1	-7.351e-02	3.697e-01
ERCC2	9.288e-02	2.567e-01
ERCC3	5.413e-02	5.092e-01
ERCC4	-1.240e-01	1.292e-01
ERCC5	1.472e-01	7.125e-02
ERCC6	3.454e-02	6.737e-01
ERG	-1.980e-02	8.093e-01
ERRFI1	-5.694e-02	4.874e-01
ESR1	-1.948e-01	1.652e-02
ESR2	-1.849e-01	2.306e-02
