Term	P_rho	P_pval	C_rho	C_pval	RLIPP
NEST	1.000e+00	8.238e-318	9.883e-01	1.496e-123	1.012e+00
NEST:6	7.500e-01	1.560e-28	7.292e-01	2.492e-26	1.028e+00
NEST:58	5.476e-01	3.427e-13	5.643e-01	4.478e-14	9.704e-01
NEST:73	4.498e-01	6.892e-09	4.561e-01	3.985e-09	9.862e-01
NEST:3	9.069e-01	8.587e-58	8.831e-01	7.796e-51	1.027e+00
NEST:32	2.883e-01	3.317e-04	2.899e-01	3.050e-04	9.942e-01
NEST:4	8.208e-01	4.611e-38	7.955e-01	3.156e-34	1.032e+00
NEST:1	9.076e-01	5.037e-58	8.467e-01	1.143e-42	1.072e+00
NEST:7	4.456e-01	9.828e-09	4.256e-01	5.098e-08	1.047e+00
NEST:50	6.993e-01	1.748e-23	7.324e-01	1.181e-26	9.548e-01
NEST:15	8.087e-01	3.724e-36	7.614e-01	7.577e-30	1.062e+00
NEST:10	6.043e-01	2.125e-16	6.169e-01	3.318e-17	9.795e-01
NEST:92	2.032e-01	1.232e-02	2.331e-01	3.972e-03	8.718e-01
NEST:9	6.502e-01	1.655e-19	6.668e-01	9.123e-21	9.751e-01
NEST:30	5.278e-01	3.314e-12	5.249e-01	4.551e-12	1.005e+00
NEST:79	4.203e-01	7.739e-08	4.935e-01	1.204e-10	8.517e-01
NEST:98	2.678e-01	8.848e-04	8.127e-02	3.212e-01	3.295e+00
NEST:5	3.744e-01	2.175e-06	2.585e-01	1.350e-03	1.448e+00
NEST:108	5.452e-02	5.061e-01	1.797e-01	2.723e-02	3.033e-01
NEST:102	5.471e-01	3.648e-13	5.738e-01	1.347e-14	9.535e-01
NEST:110	5.247e-01	4.640e-12	5.390e-01	9.390e-13	9.736e-01
NEST:107	5.187e-01	8.962e-12	4.305e-01	3.437e-08	1.205e+00
NEST:53	4.254e-01	5.172e-08	3.562e-01	7.181e-06	1.194e+00
NEST:65	7.062e-01	4.164e-24	3.212e-01	5.785e-05	2.199e+00
NEST:91	6.205e-01	1.944e-17	4.253e-01	5.216e-08	1.459e+00
NEST:8	6.062e-01	1.610e-16	6.130e-01	5.939e-17	9.889e-01
NEST:130	3.963e-01	4.720e-07	3.992e-01	3.820e-07	9.927e-01
NEST:38	6.209e-01	1.821e-17	4.398e-01	1.610e-08	1.412e+00
NEST:121	1.583e-01	5.219e-02	1.518e-01	6.274e-02	1.043e+00
NEST:119	2.746e-01	6.452e-04	2.614e-01	1.187e-03	1.050e+00
NEST:18	5.631e-01	5.222e-14	3.377e-01	2.233e-05	1.668e+00
NEST:25	3.524e-01	9.077e-06	2.999e-01	1.834e-04	1.175e+00
NEST:12	4.527e-01	5.355e-09	4.680e-01	1.365e-09	9.672e-01
NEST:60	4.945e-01	1.094e-10	4.265e-01	4.756e-08	1.159e+00
NEST:104	4.578e-01	3.423e-09	4.465e-01	9.146e-09	1.025e+00
NEST:2	6.986e-01	2.008e-23	7.034e-01	7.414e-24	9.931e-01
NEST:14	3.314e-01	3.240e-05	1.213e-01	1.378e-01	2.731e+00
NEST:174	2.484e-01	2.101e-03	2.181e-01	7.153e-03	1.139e+00
NEST:17	4.433e-01	1.201e-08	4.941e-01	1.140e-10	8.971e-01
NEST:19	3.544e-01	8.030e-06	4.073e-01	2.107e-07	8.702e-01
NEST:22	-4.771e-02	5.607e-01	1.631e-01	4.545e-02	-2.926e-01
NEST:20	2.533e-01	1.698e-03	3.137e-01	8.766e-05	8.075e-01
NEST:26	3.764e-01	1.901e-06	2.911e-01	2.879e-04	1.293e+00
NEST:23	1.012e-01	2.165e-01	1.649e-01	4.302e-02	6.134e-01
NEST:36	1.529e-01	6.095e-02	1.561e-01	5.568e-02	9.795e-01
NEST:16	2.814e-01	4.646e-04	3.365e-01	2.390e-05	8.362e-01
NEST:29	2.266e-01	5.143e-03	3.040e-01	1.481e-04	7.455e-01
NEST:31	2.034e-01	1.225e-02	2.268e-01	5.099e-03	8.967e-01
NEST:34	5.685e-01	2.648e-14	5.054e-01	3.644e-11	1.125e+00
NEST:40	1.827e-01	2.477e-02	1.348e-01	9.890e-02	1.355e+00
NEST:44	2.038e-01	1.209e-02	2.163e-01	7.649e-03	9.421e-01
NEST:49	1.064e-01	1.933e-01	1.202e-01	1.415e-01	8.855e-01
NEST:66	4.539e-01	4.801e-09	4.559e-01	4.046e-09	9.957e-01
NEST:45	1.351e-01	9.817e-02	1.899e-01	1.954e-02	7.115e-01
NEST:69	2.133e-01	8.536e-03	1.925e-01	1.790e-02	1.108e+00
NEST:137	2.824e-01	4.425e-04	3.106e-01	1.038e-04	9.093e-01
NEST:145	2.398e-01	3.024e-03	2.198e-01	6.686e-03	1.091e+00
NEST:138	1.402e-01	8.597e-02	1.518e-01	6.282e-02	9.237e-01
NEST:168	4.176e-01	9.564e-08	3.698e-01	2.963e-06	1.129e+00
NEST:169	-9.465e-02	2.477e-01	1.249e-01	1.265e-01	-7.579e-01
NEST:127	1.835e-01	2.415e-02	1.241e-02	8.798e-01	1.479e+01
NEST:212	3.024e-01	1.607e-04	3.731e-01	2.376e-06	8.105e-01
NEST:170	1.984e-01	1.459e-02	2.592e-01	1.313e-03	7.657e-01
NEST:105	9.417e-02	2.501e-01	1.311e-01	1.085e-01	7.181e-01
NEST:77	2.471e-02	7.633e-01	5.164e-02	5.289e-01	4.786e-01
NEST:254	2.287e-01	4.740e-03	3.122e-01	9.509e-05	7.324e-01
NEST:52	5.416e-01	6.963e-13	3.449e-01	1.441e-05	1.570e+00
NEST:81	7.185e-02	3.807e-01	1.114e-01	1.731e-01	6.447e-01
NEST:146	3.073e-01	1.243e-04	3.119e-01	9.672e-05	9.851e-01
NEST:129	1.786e-01	2.819e-02	1.730e-01	3.360e-02	1.032e+00
NEST:112	4.442e-01	1.111e-08	3.362e-01	2.434e-05	1.321e+00
NEST:117	3.590e-01	6.008e-06	1.586e-01	5.176e-02	2.263e+00
NEST:123	3.711e-01	2.722e-06	3.783e-01	1.672e-06	9.809e-01
NEST:126	3.834e-01	1.180e-06	1.054e-01	1.979e-01	3.638e+00
NEST:133	2.617e-01	1.174e-03	2.649e-01	1.012e-03	9.877e-01
NEST:155	2.330e-01	3.995e-03	2.590e-01	1.322e-03	8.994e-01
NEST:177	4.372e-01	1.997e-08	4.511e-01	6.160e-09	9.692e-01
NEST:85	5.547e-01	1.472e-13	4.377e-01	1.912e-08	1.267e+00
NEST:150	5.172e-01	1.052e-11	4.209e-01	7.425e-08	1.229e+00
NEST:90	1.200e-01	1.422e-01	2.676e-01	8.958e-04	4.485e-01
NEST:61	1.842e-01	2.360e-02	1.451e-01	7.549e-02	1.269e+00
NEST:210	3.744e-01	2.174e-06	3.728e-01	2.428e-06	1.004e+00
NEST:55	4.770e-01	5.946e-10	1.420e-01	8.208e-02	3.360e+00
NEST:142	2.430e-01	2.649e-03	2.244e-01	5.599e-03	1.083e+00
NEST:153	3.695e-01	3.035e-06	2.677e-01	8.883e-04	1.380e+00
NEST:182	-7.759e-03	9.247e-01	2.148e-01	8.096e-03	-3.613e-02
NEST:221	3.326e-01	3.012e-05	2.658e-01	9.703e-04	1.251e+00
NEST:239	4.542e-02	5.797e-01	5.162e-02	5.291e-01	8.799e-01
NEST:132	3.193e-01	6.450e-05	8.780e-02	2.837e-01	3.636e+00
NEST:89	2.670e-01	9.202e-04	2.933e-01	2.567e-04	9.101e-01
NEST:195	3.263e-01	4.332e-05	2.870e-01	3.529e-04	1.137e+00
NEST:21	3.118e-01	9.715e-05	2.345e-01	3.760e-03	1.330e+00
NEST:70	2.518e-01	1.815e-03	2.548e-01	1.591e-03	9.882e-01
NEST:13	3.906e-01	7.091e-07	4.066e-01	2.215e-07	9.608e-01
NEST:256	1.618e-01	4.713e-02	2.890e-01	3.197e-04	5.600e-01
NEST:33	3.365e-01	2.395e-05	1.974e-01	1.514e-02	1.705e+00
NEST:47	3.403e-01	1.914e-05	2.735e-01	6.796e-04	1.244e+00
NEST:48	6.647e-02	4.174e-01	1.875e-02	8.192e-01	3.545e+00
NEST:63	2.657e-03	9.742e-01	-4.470e-02	5.857e-01	-5.945e-02
NEST:84	2.399e-01	3.011e-03	2.825e-01	4.413e-04	8.492e-01
NEST:202	1.432e-02	8.615e-01	1.530e-01	6.073e-02	9.360e-02
NEST:43	1.089e-01	1.830e-01	1.563e-01	5.536e-02	6.972e-01
NEST:51	1.904e-01	1.918e-02	2.063e-01	1.103e-02	9.230e-01
NEST:57	3.973e-01	4.408e-07	2.088e-01	1.009e-02	1.903e+00
NEST:82	4.386e-01	1.773e-08	3.302e-01	3.458e-05	1.328e+00
NEST:83	5.011e-01	5.613e-11	3.219e-01	5.560e-05	1.557e+00
NEST:165	1.156e-01	1.576e-01	4.093e-01	1.808e-07	2.824e-01
NEST:186	2.559e-01	1.515e-03	2.115e-01	9.139e-03	1.210e+00
NEST:193	3.237e-01	5.020e-05	2.855e-01	3.800e-04	1.134e+00
NEST:199	2.744e-01	6.501e-04	1.132e-01	1.665e-01	2.425e+00
NEST:293	2.462e-01	2.309e-03	2.825e-01	4.400e-04	8.714e-01
NEST:94	1.165e-01	1.545e-01	-1.307e-02	8.734e-01	-8.909e+00
NEST:97	3.377e-02	6.806e-01	1.058e-01	1.961e-01	3.192e-01
NEST:27	8.267e-02	3.129e-01	1.434e-01	7.902e-02	5.766e-01
NEST:158	2.986e-01	1.959e-04	2.893e-01	3.148e-04	1.032e+00
NEST:134	1.424e-01	8.116e-02	1.332e-01	1.031e-01	1.069e+00
NEST:42	3.206e-01	5.982e-05	2.852e-01	3.860e-04	1.124e+00
NEST:93	1.545e-01	5.826e-02	2.414e-01	2.825e-03	6.398e-01
NEST:35	2.308e-01	4.358e-03	3.082e-01	1.180e-04	7.488e-01
NEST:39	1.421e-01	8.170e-02	6.989e-02	3.938e-01	2.034e+00
NEST:11	2.729e-01	7.000e-04	1.803e-01	2.674e-02	1.513e+00
NEST:78	7.353e-02	3.696e-01	4.801e-02	5.583e-01	1.532e+00
NEST:24	1.108e-01	1.756e-01	6.264e-02	4.448e-01	1.769e+00
NEST:196	1.964e-01	1.567e-02	1.687e-01	3.844e-02	1.164e+00
NEST:163	2.532e-01	1.711e-03	2.770e-01	5.749e-04	9.139e-01
NEST:54	1.041e-01	2.035e-01	1.235e-01	1.309e-01	8.428e-01
NEST:277	3.015e-01	1.681e-04	2.885e-01	3.271e-04	1.045e+00
NEST:59	1.765e-01	3.018e-02	3.622e-01	4.883e-06	4.873e-01
NEST:125	2.132e-01	8.572e-03	2.656e-01	9.805e-04	8.028e-01
NEST:231	2.496e-01	1.993e-03	2.235e-01	5.796e-03	1.117e+00
NEST:80	1.152e-01	1.591e-01	8.748e-02	2.855e-01	1.316e+00
NEST	1.000e+00	0.000e+00	9.872e-01	6.415e-151	1.013e+00
NEST:6	7.016e-01	2.517e-29	6.525e-01	2.631e-24	1.075e+00
NEST:58	5.799e-01	2.243e-18	5.918e-01	3.051e-19	9.800e-01
NEST:73	5.225e-01	1.240e-14	5.052e-01	1.226e-13	1.034e+00
NEST:3	8.905e-01	7.347e-66	8.616e-01	5.914e-57	1.034e+00
NEST:32	4.528e-01	6.099e-11	2.670e-01	2.043e-04	1.696e+00
NEST:4	7.925e-01	5.147e-42	7.703e-01	2.190e-38	1.029e+00
NEST:1	9.312e-01	7.183e-84	8.854e-01	3.905e-64	1.052e+00
NEST:7	4.616e-01	2.304e-11	4.562e-01	4.195e-11	1.012e+00
NEST:50	6.396e-01	3.955e-23	6.480e-01	6.911e-24	9.870e-01
NEST:15	7.109e-01	2.124e-30	7.132e-01	1.148e-30	9.968e-01
NEST:10	5.847e-01	1.006e-18	6.256e-01	6.330e-22	9.347e-01
NEST:92	2.040e-01	4.870e-03	2.060e-01	4.456e-03	9.902e-01
NEST:9	5.557e-01	1.038e-16	5.460e-01	4.482e-16	1.018e+00
NEST:30	3.964e-01	1.633e-08	4.311e-01	5.948e-10	9.197e-01
NEST:79	3.498e-01	8.054e-07	3.981e-01	1.401e-08	8.787e-01
NEST:98	2.260e-01	1.769e-03	2.734e-01	1.413e-04	8.266e-01
NEST:5	3.727e-01	1.283e-07	4.562e-01	4.209e-11	8.170e-01
NEST:108	4.334e-01	4.666e-10	3.257e-01	4.808e-06	1.331e+00
NEST:102	5.768e-01	3.764e-18	5.789e-01	2.648e-18	9.963e-01
NEST:110	5.412e-01	9.030e-16	5.598e-01	5.593e-17	9.668e-01
NEST:107	3.556e-01	5.121e-07	2.468e-01	6.196e-04	1.441e+00
NEST:53	4.464e-01	1.206e-10	4.173e-01	2.317e-09	1.070e+00
NEST:65	5.738e-01	6.112e-18	4.013e-01	1.045e-08	1.430e+00
NEST:91	5.417e-01	8.295e-16	3.937e-01	2.088e-08	1.376e+00
NEST:8	5.392e-01	1.196e-15	5.036e-01	1.508e-13	1.071e+00
NEST:130	2.161e-01	2.825e-03	1.951e-01	7.150e-03	1.108e+00
NEST:38	6.421e-01	2.332e-23	4.305e-01	6.311e-10	1.492e+00
NEST:121	8.256e-02	2.587e-01	6.274e-02	3.910e-01	1.316e+00
NEST:119	1.799e-01	1.326e-02	1.897e-01	8.937e-03	9.482e-01
NEST:18	5.601e-01	5.308e-17	2.092e-01	3.859e-03	2.677e+00
NEST:25	3.189e-01	7.745e-06	2.702e-01	1.695e-04	1.180e+00
NEST:12	4.552e-01	4.675e-11	4.330e-01	4.859e-10	1.051e+00
NEST:60	3.579e-01	4.288e-07	3.444e-01	1.222e-06	1.039e+00
NEST:104	4.907e-01	7.578e-13	4.619e-01	2.234e-11	1.062e+00
NEST:2	6.625e-01	2.969e-25	6.505e-01	4.033e-24	1.018e+00
NEST:14	2.651e-01	2.268e-04	2.300e-01	1.452e-03	1.153e+00
NEST:174	4.438e-01	1.598e-10	4.591e-01	3.044e-11	9.666e-01
NEST:17	4.085e-01	5.385e-09	4.106e-01	4.404e-09	9.948e-01
NEST:19	3.359e-01	2.298e-06	3.144e-01	1.053e-05	1.068e+00
NEST:22	-3.682e-02	6.149e-01	1.346e-01	6.482e-02	-2.736e-01
NEST:20	1.983e-01	6.232e-03	3.433e-01	1.323e-06	5.776e-01
NEST:26	3.261e-01	4.653e-06	2.826e-01	8.159e-05	1.154e+00
NEST:23	1.992e-01	5.989e-03	3.057e-01	1.885e-05	6.517e-01
NEST:36	1.035e-02	8.876e-01	2.049e-02	7.796e-01	5.050e-01
NEST:16	2.216e-01	2.180e-03	3.015e-01	2.494e-05	7.351e-01
NEST:29	5.867e-02	4.226e-01	1.802e-01	1.310e-02	3.256e-01
NEST:31	1.816e-01	1.238e-02	2.483e-01	5.696e-04	7.313e-01
NEST:34	5.329e-01	2.953e-15	1.709e-01	1.872e-02	3.118e+00
NEST:40	5.429e-02	4.581e-01	1.393e-01	5.591e-02	3.897e-01
NEST:44	2.637e-01	2.463e-04	2.631e-01	2.552e-04	1.002e+00
NEST:49	1.818e-01	1.229e-02	4.300e-02	5.569e-01	4.228e+00
NEST:66	4.575e-01	3.629e-11	4.652e-01	1.547e-11	9.836e-01
NEST:45	3.303e-02	6.518e-01	5.772e-02	4.302e-01	5.723e-01
NEST:69	2.702e-01	1.698e-04	2.760e-01	1.207e-04	9.788e-01
NEST:137	3.592e-01	3.860e-07	3.230e-01	5.792e-06	1.112e+00
NEST:145	3.067e-01	1.771e-05	3.066e-01	1.780e-05	1.000e+00
NEST:138	1.782e-01	1.415e-02	2.057e-01	4.510e-03	8.662e-01
NEST:168	4.032e-01	8.789e-09	3.689e-01	1.752e-07	1.093e+00
NEST:169	1.950e-01	7.156e-03	2.125e-01	3.328e-03	9.178e-01
NEST:127	1.925e-01	7.968e-03	1.554e-01	3.269e-02	1.238e+00
NEST:212	3.222e-01	6.138e-06	2.990e-01	2.926e-05	1.078e+00
NEST:170	2.376e-01	9.968e-04	2.374e-01	1.003e-03	1.000e+00
